Philippe,Van België,fluppe@monarchie.be,I<3Mathilde,CUSTOMER
Mathilde,d'Udekem d'Acoz,mathildevandebuurt@monarchie.be,$2a$10$8UE3y5Aj8OX0VUxhUmZdnOPv7gPE0xTc1a87vjlqAS8HzIGO5Ux6m,CUSTOMER
Gabriël,Van België,gabbie@monarchie.be,azerty,CUSTOMER
Elisabeth,Van België,lisa@monarchie.be,qwerty,CUSTOMER
Emmanuel,Van België,manu@monarchie.be,dvorak,CUSTOMER
Eléonore,Van België,elli@monarchie.be,ElliVoorDeVrienden,CUSTOMER
Elizabeth,Windsor,elizabeth@housewindsor.co.uk,IWillReignForever,CUSTOMER
William,Wales,will.i.am@house.windsor.co.uk,DukeOfCambridge,CUSTOMER
Philip,Duke of Edinburgh,philly@house.windsor.co.uk,I<3ElizabethII,CUSTOMER
Wouter,Beke,woutje@vlaanderen.be,welzijn,EMPLOYEE
Jan,Jambon,janneman@vlaanderen.be,ministerPresident,EMPLOYEE
Hilde,Crevits,hilde@vlaanderen.be,economie,EMPLOYEE
Bart,Somers,bartje@vlaanderen.be,binnenland,EMPLOYEE
Ben,Weyts,benny@vlaanderen.be,onderwijs,EMPLOYEE
Gunnar,Brinkmann,gunnar.brinkmann@ugent.be,gunnar,CUSTOMER
Kris,Coolsaet,kris.coolsaet@ugent.be,WhileMetDubbeleConditie,CUSTOMER
Peter,Dawyndt,peter.dawyndt@ugent.be,peter,CUSTOMER
Veerle,Fack,veerle.fack@ugent.be,veerle,CUSTOMER
Christophe,Ley,christophe.ley@ugent.be,IkBegrijpP-waardeNogSteedsNiet,CUSTOMER
Marnix,Van Daele,marnix.vandaele@ugent.be,MatrixVanDaele,CUSTOMER
Peter,File,peter.file@gmail.com,$2a$10$HR1JfxxBB2BPZ6JYZekFM.E4XyOTLziSVd74a17RfOh9V9f/hN7lK,ADMIN
Mike,Oxlong,mike.oxlong@gmail.com,$2a$10$HR1JfxxBB2BPZ6JYZekFM.E4XyOTLziSVd74a17RfOh9V9f/hN7lK,CUSTOMER
Louis,De Nevel,louis@ugent.be,$2a$10$HR1JfxxBB2BPZ6JYZekFM.E4XyOTLziSVd74a17RfOh9V9f/hN7lK,CUSTOMER
